Dates,global_ip
20000131,77.3
20000229,78.2
20000331,78.4
20000430,79.1
20000531,79.7
20000630,79.8
20000731,80
20000831,80.6
20000930,80.4
20001031,80.6
20001130,80.9
20001231,80.9
20010131,80.2
20010228,80.3
20010331,79.9
20010430,79.3
20010531,79.2
20010630,78.8
20010731,78.3
20010831,78.8
20010930,78.1
20011031,77.7
20011130,77.6
20011231,77.3
20020131,77.8
20020228,78.1
20020331,78.4
20020430,78.8
20020531,79.4
20020630,79.4
20020731,79.7
20020831,79.9
20020930,80.3
20021031,80.5
20021130,80.9
20021231,79.5
20030131,80.6
20030228,81.3
20030331,81.7
20030430,81.4
20030531,81.2
20030630,81.3
20030731,81.9
20030831,81.9
20030930,82.5
20031031,83.5
20031130,83.5
20031231,84.4
20040131,84.8
20040229,85.3
20040331,85.2
20040430,85.8
20040531,86.1
20040630,86.4
20040731,86.8
20040831,86.5
20040930,87.2
20041031,87.6
20041130,87.3
20041231,87.8
20050131,88.7
20050228,88.9
20050331,89.1
20050430,89.7
20050531,89.5
20050630,89.8
20050731,89.8
20050831,90.2
20050930,90.4
20051031,90.7
20051130,91.6
20051231,92
20060131,92.3
20060228,92.5
20060331,92.9
20060430,93.2
20060531,93.7
20060630,94.1
20060731,94.1
20060831,94.6
20060930,94.8
20061031,94.8
20061130,95.6
20061231,96.3
20070131,96.5
20070228,96.9
20070331,97.4
20070430,97.6
20070531,98.4
20070630,98.4
20070731,98.8
20070831,99.5
20070930,99.6
20071031,100.3
20071130,100.5
20071231,101.1
20080131,102
20080229,102.2
20080331,101.8
20080430,102
20080531,101.4
20080630,101.2
20080731,101
20080831,100
20080930,99.1
20081031,98
20081130,94.9
20081231,92
20090131,89.7
20090228,89.3
20090331,89.3
20090430,89.7
20090531,90.5
20090630,91.2
20090731,92
20090831,92.8
20090930,94
20091031,94.7
20091130,95.4
20091231,95.9
20100131,97
20100228,97.4
20100331,98.5
20100430,99.1
20100531,99.8
20100630,99.9
20100731,100.2
20100831,100.6
20100930,101
20101031,101.5
20101130,102.1
20101231,102.7
20110131,103.7
20110228,103.5
20110331,102.9
20110430,102.7
20110531,103.5
20110630,104.2
20110731,104.7
20110831,105.3
20110930,105.2
20111031,105.2
20111130,105.5
20111231,106.1
20120131,106.3
20120229,107.1
20120331,107
20120430,106.8
20120531,107.3
20120630,107.1
20120731,107.3
20120831,107.2
20120930,106.9
20121031,107.2
20121130,107.4
20121231,107.8
20130131,107.8
20130228,107.9
20130331,108.6
20130430,109
20130531,109.2
20130630,109.1
20130731,109.6
20130831,110.1
20130930,110.4
20131031,110.6
20131130,111.2
20131231,111.3
20140131,111.8
20140228,112.2
20140331,112.4
20140430,112.6
20140531,112.8
20140630,112.8
20140731,113.3
20140831,112.8
20140930,114
20141031,114
20141130,114.2
20141231,114.8
20150131,114.3
20150228,114.4
20150331,114.5
20150430,114.7
20150531,114.6
20150630,115.1
20150731,115.3
20150831,115.2
20150930,115.7
20151031,115.7
20151130,115.6
20151231,115.5
20160131,116.4
20160229,116.3
20160331,116.1
20160430,116.5
20160531,116.2
20160630,117
20160731,117
20160831,117.5
20160930,117.5
20161031,118.2
20161130,119.1
20161231,119.3
20170131,119.1
20170228,119.4
20170331,120.1
20170430,120.3
20170531,120.8
20170630,121.4
20170731,121.5
20170831,122.1
20170930,122.3
20171031,122.4
20171130,123.5
20171231,124
20180131,123.9
20180228,124.2
20180331,124.7
20180430,124.9
20180531,124.7
20180630,125
20180731,125.2
20180831,125.7
20180930,125.6
20181031,126.3
20181130,125.8
20181231,125.7
20190131,125.8
20190228,125.7
20190331,127
20190430,126
20190531,126.3
20190630,125.7
