company_name,managing_company,business_unit,country,operation,latitude,longditude,status,start_date,operation_status_as_designed,raising_method,current_maximum,current_tailings,planned_tailings,last_review,full_records_available,failure_hazard,previous_instability,failure_impact_assessment
Anglo American,De Beers Group of Companies,De Beers,Canada,Gahcho Kué,63.463619,-109.211752,Active,2016,Yes,Downstream,11.5,3.5,6.88,2018,Yes,High,No,"Yes, 2016"
Anglo American,De Beers Group of Companies,De Beers,Canada,Gahcho Kué,63.443218,-109.182952,Active,2016,Yes,Dry stack,20,2.9,5.59,2018,Yes,High,No,"Yes, 2016"
Anglo American,De Beers Group of Companies,De Beers,Canada,Victor,52.823067,-83.9387,Active,2008,Yes,Downstream,8,7.4,7.4,2018,Yes,Low,No,"Yes, 2004"
Anglo American,De Beers Group of Companies,De Beers,Canada,Victor,52.810581,-83.906339,Active,2008,Yes,Dry stack,12,5.94,5.94,2018,Yes,Low,No,"Yes, 2004"
Anglo American,De Beers Group of Companies,De Beers,Canada,Victor,52.807844,-83.920369,Active,2008,Yes,Dry stack,14,5.4,5.4,2018,Yes,Low,No,"Yes, 2004"
Anglo American,De Beers Group of Companies,De Beers,Canada,Snap Lake,63.605278,-110.866667,Inactive,2008,Yes,Other,22,3.94,3.94,2018,Yes,Low,No,"Yes, 2014, updated 2018 Yes, Yes 2019"
Anglo American,De Beers Group of Companies,De Beers,South Africa,Venetia,-22.42825,29.298342,Active,1992,Yes,Other,42.5,55.8,74.6,2018,Yes,High,Yes,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Venetia,-22.449539,29.304022,Active,1992,Yes,Dry stack,42,16.4,29,2018,Yes,High,No,"Yes, See Q20 for more
information"
Anglo American,De Beers Group of Companies,De Beers,South Africa,Voorspoed,-27.388258,27.200122,Inactive,2008,Yes,Downstream,28,5.6,5.6,2018,Yes,Moderate,Yes,information
Anglo American,De Beers Group of Companies,De Beers,South Africa,Voorspoed,-27.384761,27.183719,Inactive,2008,Yes,Dry stack,40,9,9,2018,Yes,Low,No,"Yes, See Q20 for more
information"
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.647064,17.044575,,1972,No,Downstream,27,29,29,2013,No,Major,Yes,
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.647064,17.044575,,1972,No,Dry stack,51,11.1,11.1,2013,No,Low,"No,",
Anglo American,De Beers Group of Companies,De Beers,South Africa,Namaqualand,-29.589625,17.034189,,1975,No,Other,,,,2013,No,,No,
