Dates,WM Y,ICSG M,WM Y CH,ICSG CH
19761231,8548.3,,320,
19771231,9061.6,,330,
19781231,9525.7,,350,
19791231,9831.9,,360,
19801231,9494.8,,370,
19811231,9529.2,,380,
19821231,9004.6,,405,
19831231,9115,,440,
19841231,9696.1,,500,
19851231,9891.1,,693,
19861231,10094.9,,618,
19871231,10585.2,,586,
19881231,10734.49685,,561,
19891231,11148.9,,620,
19901231,10945.7,,660,
19911231,10794.68614,,676,
19921231,10955.7,,870,
19931231,11094.5,,971,
19941231,11922.4,,1015,
19951231,12153,,1172,
19961231,12735.7,,1260,
19971231,13188.4,,1270,
19981231,13525.397,,1397,
19991231,14241.88181,,1500,
20001231,15184.21026,,1850,
20011231,14784.19738,,2230,
20021231,14880.5315,,2425,
20031231,15528.6487,,2992,
20041231,16967.628,,3565,
20050131,,1400,,
20050228,,1252,,
20050331,,1397,,
20050430,,1361,,
20050531,,1414,,
20050630,,1412,,
20050731,,1394,,
20050831,,1306,,
20050930,,1443,,
20051031,,1378,,
20051130,,1390,,
20051231,16801.547,1316,3745,
20060131,,1374,,
20060228,,1306,,
20060331,,1439,,
20060430,,1439,,
20060531,,1492,,
20060630,,1438,,
20060731,,1439,,
20060831,,1357,,
20060930,,1470,,
20061031,,1423,,
20061130,,1450,,
20061231,17300.64662,1335,3861,
20070131,,1529,,
20070228,,1466,,
20070331,,1594,,
20070430,,1602,,
20070531,,1533,,
20070630,,1548,,
20070731,,1518,,
20070831,,1448,,
20070930,,1503,,
20071031,,1523,,
20071130,,1527,,
20071231,17879.5401,1425,4637,
20080131,,1515,,
20080229,,1467,,
20080331,,1564,,
20080430,,1588,,
20080531,,1564,,
20080630,,1529,,
20080731,,1519,,
20080831,,1469,,
20080930,,1512,,
20081031,,1521,,
20081130,,1423,,
20081231,18057.90419,1386,5257,
20090131,,1352,,
20090228,,1437,,
20090331,,1538,,
20090430,,1577,,
20090531,,1602,,
20090630,,1631,,
20090731,,1539,,
20090831,,1426,,
20090930,,1547,,
20091031,,1497,,
20091130,,1527,,
