Dates,auto_production
20050131,257703
20050228,215533
20050331,352906
20050430,354004
20050531,304537
20050630,367306
20050731,328230
20050831,315509
20050930,358234
20051031,298977
20051130,371003
20051231,407865
20060131,391591
20060228,377697
20060331,499722
20060430,483050
20060531,413473
20060630,425885
20060731,366957
20060831,358103
20060930,458417
20061031,422170
20061130,509041
20061231,491038
20070131,567563
20070228,419972
20070331,590690
20070430,544628
20070531,492678
20070630,533579
20070731,476974
20070831,448424
20070930,544507
20071031,522237
20071130,616326
20071231,622426
20080131,609078
20080229,471557
20080331,715066
20080430,658511
20080531,591367
20080630,608027
20080731,542346
20080831,434779
20080930,555543
20081031,519874
20081130,533551
20081231,488983
20090131,524879
20090228,591331
20090331,751657
20090430,817548
20090531,821533
20090630,898623
20090731,850286
20090831,857504
20090930,1026152
20091031,970310
20091130,1074687
20091231,1179732
20100131,1243911
20100228,919412
20100331,1299481
20100430,1142596
20100531,1031573
20100630,1045343
20100731,990880
20100831,975419
20100930,1230213
20101031,1198126
20101130,1364477
20101231,1445272
20110131,1398120
20110228,969279
20110331,1383363
20110430,1156581
20110531,1040933
20110630,1121964
20110731,1050406
20110831,1116842
20110930,1275034
20111031,1261809
20111130,1374116
20111231,1364226
20120131,1053523
20120229,1261480
20120331,1455809
20120430,1305151
20120531,1269103
20120630,1258846
20120731,1184776
20120831,1228500
20120930,1352769
20121031,1280166
20121130,1431996
20121231,1442303
20130131,1621158
20130228,1105048
20130331,1657028
20130430,1498652
20130531,1419752
20130630,1362611
20130731,1298798
20130831,1387768
20130930,1576436
20131031,1591790
20131130,1783378
20131231,1782196
20140131,1710571
20140228,1338791
20140331,1748331
20140430,1667393
20140531,1649615
20140630,1598960
20140731,1472687
20140831,1481010
20140930,1724354
20141031,1757785
20141130,1834635
20141231,1941497
20150131,1969274
20150228,1412820
20150331,1928522
20150430,1754111
20150531,1676900
20150630,1587435
20150731,1301264
20150831,1341626
20150930,1620722
20151031,1899691
20151130,2230180
20151231,2321023
20160131,2148370
20160229,1402487
20160331,2143441
20160430,1834436
20160531,1772083
20160630,1772183
20160731,1718461
20160831,1722765
20160930,2231620
20161031,2287117
20161130,2637962
20161231,2644046
20170131,2071538
20170228,1847455
20170331,2187997
20170430,1782820
20170531,1747686
20170630,1844855
20170731,1758616
20170831,1789567
20170930,2297181
20171031,2224818
20171130,2669085
20171231,2609663
20180131,2330561
20180228,1439238
20180331,2199106
20180430,1999764
20180531,1954238
20180630,1930769
20180731,1725270
20180831,1705195
20180930,2024780
20181031,2002211
20181130,2122924
20181231,2054631
20190131,1995087
20190228,1140254
20190331,2089753
20190430,1660452
20190531,1491350
20190630,1598483
20190731,1522641
20190831,1693092
