severity,magnitude_index,failure_locus,facility_des,facility_loc,latitude,longditude,accuracy,google_place_id,country,type,ore_type,dam_type,dam_fill_material,dam_height,storage_vol,ICOLD_type,ICOLD_key,ICOLD_cause,incident_year,indident_date,release_volume,runout_distance,deaths,sources,notes
1,27.9606345,1,"Mina Córrego do Feijão,Ma#1 and Dam #6,Vale, Minas Gerais Brazil","Mina Córrego do Feijão, Minas Gerais Brazil",-20.1110976,-44.1292758,GEOMETRIC_CENTER,ChIJb_YLilPIpgARs-gJ5AQD16o,BR,"establishment,point_of_interest",Fe,,,110,,1,B,,2019,25-Jan-2019,12000000,8,300,see www.worldminetailingsfailures.org,a failure by static liquefaction  after lingering in vuknerable condition for nealy a decade
,,2,"Cerro Crona Mine, GoldFields, Cajamarca,Peru","Cerro Crona Mine, Cajamarca,Peru",-6.7600148,-78.6285252,GEOMETRIC_CENTER,ChIJ3_9V-7-ns5ERMf29ebZ0aWQ,PE,"establishment,point_of_interest","Cu,Au",CL,R,,,2,A,,2018,16-Dec-2018,,,0,http://www.oefa.gob.pe/noticias-institucionales/oefa-supervisa-derrame-de-relaves-en-cajamarca,seal of spring within the impoundment failed allowing taiings to flow into spring water
3,0,3,"Rosebery Mine 2 5 TSF,MMG,Tasmania,Australia ","Rosebery Mine,Tasmania,Australia ",-41.7747595,145.539425,ROOFTOP,ChIJL5EwSf_XeqoRCLuKaP8xPC0,AU,"establishment,point_of_interest","Zn,Cu,Au",,,,,1,A,,2018,10-Oct-2018,,,0,"L. Bennett,The Advocate 10/25/2018 (42)",at drainage pond for newly commissined tsf overtopping due to heavy rains
,,1,"Duke Energy,LV Sutton Power Station, Cape Fear North Carolina,unident1 of 3","LV Sutton Power Station, Cape Fear, North Carolina",34.282539,-77.9840574,ROOFTOP,ChIJP7sOeMUhqokRELft7r-AXN4,US,"establishment,point_of_interest",Coal,,,,,,,OT,2018,20-Sep-2018,,,0,,at tsf identified as high risk and scheduled for statutorily required relocation of contents and closure hurricane floods overtopped& caused breach
,,1,"Duke Energy,HF Lee Power Plant , Goldsboro, North Carolina, 3 ashponds submerged","Lee Power Plant , Goldsboro, North Carolina",35.3726808,-78.0888138,ROOFTOP,ChIJi6HA7zUGrIkRwOhEfMvAvfs,US,"establishment,point_of_interest",Coal,,,,304750,,,OT,2018,01-Sep-2018,,,0,"Waterkeeper Alliance Sept.19,2018(40); Knoblauch (41)",3 coal ash ponds holding 1 mllion tonnes collectively all inundated and leaking coal ash into Neuse Riveralso happened in 2016
,,1,"Duke Energy,LV Sutton Power Station, Cape Fear North Carolina,unident2 of 3","LV Sutton Power Station, Cape Fear North Carolina",34.282539,-77.9840574,ROOFTOP,ChIJP7sOeMUhqokRELft7r-AXN4,US,"establishment,point_of_interest",Coal,,,,,,,OT,2018,13-Sep-2018,,,0,,at 1 of 3 unamed coal ashh ponds at LV Sutton
3,,,"Antamok Mine , TSF#3 Itogon Benguet Mining Corp,Phillipines","Antamok Mine,Itogon,Phillipines",16.3606315,120.6599028,GEOMETRIC_CENTER,ChIJwfKy_gWnkTMR8NPwx9Vi2eQ,PH,"establishment,point_of_interest",Au,,,,,1,B,,2018,18-Aug-2018,,,0,"Sun Star August 28,2018 (41)",Heavy rains caused a breach in the stopper boards of a penstock;2nd incident see 28 /Oct/16
2,,1,"Cineguita, Mexico","Cineguita, Mexico",20.9694469,-100.7890756,APPROXIMATE,ChIJi80QCJJPK4QRQYmCS-3Dv54,MX,"locality,political","Au,Ag",,,,,1,A,,2018,05-Jun-2018,439000,26,5,,
3,0,2,"Caserones Copper Mine, Lumina Copper, Chile","Caserones Copper Mine, Chile",-32.4167,-70.5333,APPROXIMATE,ChIJWW3GcBt6iJYReG3OekAaLBI,CL,"locality,political",Cu,,,,,1,A,,2018,20-Mar-2018,15,,,Mining Weekly 04/04/2018,tailings spill shuts down processing $1bn impairment;http://www.soychile.cl/Copiapo/Norte-Minero/2018/03/30/525147/Filtracion-de-relave-fino-en-Caserones-fue-de-15-metros-cubicos.aspx
,,,"Huancapatí  Áncash , Peru Compañía Minera Lincuna SA (Grupo Picasso),Tailings Dam # 3","Huancapatí  Áncash , Peru",-9.3250497,-77.5619419,APPROXIMATE,ChIJz2IrHOdoqZERrp9_isW79p0,PE,"administrative_area_level_1,political",,,,,,,,,2018,03-Mar-2018,80000,,,wise,"the incident has contaminated crops, the Sipchoc creek and the Santa river"
